Código (SKU);Descrição;Preço;URL imagem externa 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000000;Cpu Pc Game Barata Core I5 3.4ghz 16gb Hd 1tb 500w;2149;https://http2.mlstatic.com/D_952422-MLB50134756214_052022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000000-1;Mini Computador Dell 3050 I5 8gb Ddr4 240 Ssd Optiplex;1999;https://http2.mlstatic.com/D_846817-MLB69393520459_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000001;Placa Mãe Lga 1151 H110 Usb 3.0 Ddr4 Intel 6 E 7 Geração Cor Preto;366;https://http2.mlstatic.com/D_905327-MLU73470754548_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000002;Placa Mãe 1151 H110 Ddr3 -hdmi I3, I5 E I7 - 6º E 7º Geração;539;https://http2.mlstatic.com/D_691392-MLU54962453784_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000003;Placa-mãe de computador multi-gráfico B250Mhc Mining Expert 12 Pcie Mining Rig Placa-mãe de mineração de computador Desk;1119;https://http2.mlstatic.com/D_929698-MLB52169208902_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000004;Placa Mãe H81 Lga 1150 Ddr3 Intel H81 Usb 3.0 Hdmi Pci-e ;275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000010;Placa mãe Biostar H310MHP H310 LGA 1151 DDR4 USB 3.2;445;https://http2.mlstatic.com/D_945779-MLB54743127253_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
00000100;Placa Mãe Asus Proart Z790-creator Wifi Lga1700 -;4750;https://http2.mlstatic.com/D_864400-MLB54793815384_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000011;Placa Mãe B75/h61 Ddr3 Lga1155- I3-i5-i7 -2-3 Ger;329;https://http2.mlstatic.com/D_628137-MLB52186647012_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000012;B75 Adriano;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000001-2;Placa Mãe B250 Ddr4 Nvme Lga1151 6°, 7°, 8° E 9° Geração - Preto;430;https://http2.mlstatic.com/D_852315-MLU73413073210_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000018;PLACA MAE AMD ASROCK A320MHD R4 DDR4 AM4 90MXBED0A0BAYZ;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000020;Biostar PLACA MAE A320MH AM4 UATX AA32EM4S;449;https://http2.mlstatic.com/D_850808-MLB73062195517_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000021;Placa Mae Amd Msi A320m-a Pro Ddr4 Ryzen;549;https://http2.mlstatic.com/D_819880-MLU54959127851_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000022;Placa Mãe Gigabyte B450M DS3H V2 (AM4/DDR4 3200MHz/HDMI/DisplayPort/M.2/USB 3.2) - 9MB45MSH2-00-10;729;https://http2.mlstatic.com/D_841479-MLU70660215599_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000023;Placa Mãe Asus Prime A320m-k  - Openbox;679;https://http2.mlstatic.com/D_613345-MLB69098592856_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000023-1;Placa-mãe Asus Prime A320m-f Cor Preto;635;https://http2.mlstatic.com/D_789984-MLB73898870015_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000024;Asus tek Computer Prime B450M-K II ATX +2GLN+U3.2+M2 SATA6+4XDDR9;780;https://http2.mlstatic.com/D_991282-MLB72074588479_102023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000024-1;Placa Mãe Asrock B450m Steel Legend;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000026;Biostar PLACA MAE B450MH AM4 UATX AB45CM4S;489;https://http2.mlstatic.com/D_804950-MLB52925859549_122022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000027;Placa Mãe Biostar B450mhp Chipset B450 Am4 Bios Atualizada - Preto;619;https://http2.mlstatic.com/D_898096-MLB54490764530_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000028;Placa Mae Asus Tuf B360m-plus Gaming/br Intel 1151 Ddr4 B360;948;https://http2.mlstatic.com/D_740201-MLB52180345579_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000029;ASUS Placa-mãe Ryzen Micro ATX Prime B450M-A II AMD AM4 (Ryzen 5000, 3ª/2ª/1ª geração (128GB DDR4, 4400 O.C.), NVMe, HDM;799;https://http2.mlstatic.com/D_913671-MLB54489865360_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000029-2;Placa Mãe Asus Tuf Gaming B450M-plus Ii Am4 Ddr4 Atx;950;https://http2.mlstatic.com/D_617931-MLB72978437036_112023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000030;ASUS TUF B450-PLUS GAMING II;1189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000032;Placa Mae Asus Prime H410m-e Com Suporte A Ddr4;699;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000033;PLACA DE CIRCUITO 90MB1450-C1BAY0 TUF GAMING B460M PLUS DCR2020/08705-;829;https://http2.mlstatic.com/D_615920-MLU70800688699_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000036;Placa Mae Biostar H410MH S2, Intel LGA 1200, mATX, DDR4;629;https://http2.mlstatic.com/D_759213-MLU69646433986_052023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000037;Placa-Mãe Asus Prime H410M-E Intel LGA 1200 mATX DDR4-90MB13H0-C1BAY0;673,4;https://http2.mlstatic.com/D_867739-MLB46390723704_062021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000038;PLACA-MÃE GIGABYTE H410M H V3 GAMING MICRO ATX, SOQUETE LGA1200, 2X DDR4 32GB, 2XUSB 3.2, 4XUSB 2.0, 1X D-SUB, 1XHDMI -;639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000045;Placa Mãe Asus Tuf X570-plus Gaming Wi-fi Ddr4 Am4 Atx;2089;https://http2.mlstatic.com/D_968691-MLB74143524747_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000046;Placa Mae Asus Tuf  Z690-plus Wifi Ddr5 12ªger;1768,46;https://http2.mlstatic.com/D_743576-MLB52184178947_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000048;ASRock Placa mãe AMD X570 Steel Legend WiFi AX AM4 AMD X570 SATA 6GB/S ATX AMD;1779;https://http2.mlstatic.com/D_882460-MLB52186439452_102022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000049;Placa Mãe H510MH/E 2.0 BIOSTAR ;611;https://http2.mlstatic.com/D_843863-MLU74126732249_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
000005;Pc Intel Core I3 6º Mem 16gb Ssd 240 Home Office;1489;https://http2.mlstatic.com/D_687883-MLB51482020075_092022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000050;Placa Mãe Gamer Asrock X570 Steel Legend Amd Am4 Ddr4 Atx Cor Preto;1899;https://http2.mlstatic.com/D_612204-MLU70661217737_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000050-1;Placa Mãe Asrock X570 Phantom Gaming 4 - Soquete Amd Am4;1459;https://http2.mlstatic.com/D_751078-MLU70585564644_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000051;ASRock Placa Mae H510m-hvs R2.0, Ddr4, Socket Lga1200, M-atx, Chipset Intel H510, H510m-hvs R2.0, preto;629;https://http2.mlstatic.com/D_924958-MLB53348502560_012023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000051-1;Placa Mae Asrock H510m-hdv/m.2 Se Ddr4 Cor Preto;443,85;https://http2.mlstatic.com/D_903812-MLU71378317954_082023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000052;Placa Mãe ASUS Prime - H510M-E, Intel LGA 1200, microATX, DDR4;699;https://http2.mlstatic.com/D_928956-MLB49022057144_022022-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000052-1;Placa Mae Prime H510m-e R2.0 Cor Preto;790;https://http2.mlstatic.com/D_718071-MLU74054890104_012024-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000052-2;PLACA MAE INTEL ASUS PRIME H510MK R20 DDR4 LGA1200 10 E 11 GERACAO;679;https://http2.mlstatic.com/D_865300-MLU70743000283_072023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000052-3;H510M H V2 GIGABYTE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000053;Gigabyte PLACA MAE (INTEL) H510M H DDR4 LGA 1200 10° E 11° GERACAO;734,5;https://http2.mlstatic.com/D_833775-MLB46900078985_072021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000053-1;Placa Mãe H510M S2H Ultra Durable Intel LGA 1200 DDR4 11º/10º Geração M-ATX GIGABYTE;617,5;https://http2.mlstatic.com/D_689559-MLB54548132320_032023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000054;Placa Mãe Asrock Steel Legend B550m;2249;https://http2.mlstatic.com/D_764156-MLU73467784340_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000054-1;Placa Mãe Asrock B550 Steel Legend Amd Am4 Ddr4 Matx 3200mhz;1649;https://http2.mlstatic.com/D_895656-MLU70799765810_082023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000055-1;Placa Mãe Gigabyte A520m H Am4 Cor Preto;615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000055-2;PLACA MAE AMD ASUS PRIME A520ME DDR4 AM4 ;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000056;Placa Mãe Gigabyte A520M H (AM4/DDR4 3200MHz/HDMI/DVI-D/M.2/USB 3.2) - 9MA52MH-00-10;588;https://http2.mlstatic.com/D_649728-MLB54794626986_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000056-1;Placa Mãe Gigabyte Para Amd Am4 A520m Ds3h 4xddr4 Matx;680;https://http2.mlstatic.com/D_918612-MLU73567877131_122023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000056-2;Placa-mãe Gigabyte Amd Am4 B550m Aorus Elite 4x Ddr4 Matx;1070;https://http2.mlstatic.com/D_984861-MLB45498045748_042021-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000056-3;Placa Mãe B550 Aorus Elite Ax V2;1698;https://http2.mlstatic.com/D_945214-MLU54960154051_042023-O.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0000056-4;Placa Mãe Gigabyte B550 Aorus Pro Ac Socket Am4 Ddr4 Nfe;1745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
